Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Amasya - Eynesil;1075;752,5;396;2,71
Amasya - Gaziantep;1695;1186,5;581;2,92
Amasya - Bulancak;1075;752,5;308;3,49
Amasya - Gölbaşı (Adıyaman);1670;1169;533;3,13
Amasya - Görele;1245;871,5;383;3,25
Amasya - Kırıkhan;2090;1463;640;3,27
Amasya - Havza;495;346,5;46;10,76
Amasya - Iğdır;1850;1295;849;2,18
Amasya - Tuzluca;1640;1148;810;2,02
Amasya - İskenderun;2090;1463;679;3,08
Amasya - İstanbul Avrupa;1580;1106;673;2,35
Amasya - İstanbul Avrupa;1580;1106;673;2,35
Amasya - İstanbul Anadolu;1580;1106;675;2,34
Amasya - Kahramanmaraş;1865;1305,5;504;3,7
Amasya - Kars;1750;1225;762;2,3
Amasya - Kayseri;1580;1106;376;4,2
Amasya - Gebze;1580;1106;613;2,58
Amasya - Kocaeli;1580;1106;563;2,81
Amasya - Konya;1750;1225;513;3,41
Amasya - Mercan;1530;1071;470;3,26
Amasya - Göreme;1300;910;384;3,39
Amasya - Avanos;1300;910;366;3,55
Amasya - Ordu;1020;714;277;3,68
Amasya - Fatsa;905;633,5;238;3,8
Amasya - Ünye;905;633,5;217;4,17
Amasya - Osmancık;780;546;111;7,03
Amasya - Düziçi;1800;1260;601;3
Amasya - Osmaniye;1800;1260;609;2,96
Amasya - Pasinler;1530;1071;598;2,56
Amasya - Payas;2090;1463;659;3,17
Amasya - Piraziz;1075;752,5;300;3,58
Amasya - Sakarya;1580;1106;530;2,98
Amasya - Samsun;555;388,5;123;4,51
Amasya - Sivas;960;672;221;4,34
Amasya - Şarkışla;960;672;259;3,71
Amasya - Sürmene;1360;952;492;2,76
Amasya - Şanlıurfa;1920;1344;658;2,92
Amasya - Tekkeköy;835;584,5;142;5,88
Amasya - Tercan;1530;1071;470;3,26
Amasya - Tokat;610;427;113;5,4
Amasya - Turhal;610;427;69;8,84
