Kalkış-Varış;Tarife Fiyatı;Tarife İndirimli;KM;Fiyat/KM
Amasya - Tosya;905;633,5;186;4,87
Amasya - Trabzon;1360;952;456;2,98
Amasya - Vakfıkebir;1360;952;410;3,32
Amasya - Van;2320;1624;936;2,48
Amasya - Yıldızeli;960;672;172;5,58
Acıgöl - Ankara;870;609;274;3,18
Adıyaman - Ankara;2320;1624;742;3,13
Ankara - Dinar;1040;728;373;2,79
Afyon - Ankara;680;476;262;2,6
Ankara - Sandıklı;850;595;327;2,6
Ankara - Patnos;2090;1463;1106;1,89
Ankara - Eleşkirt;1750;1225;1024;1,71
Akçay_Balıkesir - Ankara;1410;987;640;2,2
Aksaray - Ankara;635;444,5;227;2,8
Aliağa - Ankara;1580;1106;628;2,52
Altınoluk - Ankara;1410;987;640;2,2
Alanya - Ankara;1360;952;533;2,55
Ankara - Kaş;1470;1029;696;2,11
Ankara - Kemer;1290;903;587;2,2
Ankara - Kumluca;1360;952;640;2,13
Ankara - Arhavi;1865;1305,5;896;2,08
Ankara - Hopa;1865;1305,5;907;2,06
Ankara - Artvin;1920;1344;964;1,99
Ankara - Aşkale;1750;1225;826;2,12
Ankara - Çine;1190;833;640;1,86
Ankara - Aydın;1160;812;604;1,92
Ankara - Kuşadası;1360;952;650;2,09
Altınova (Ayvalık) - Ankara;1410;987;680;2,07
Ankara - Ayvalık;1410;987;680;2,07
Ankara - Bandırma;1410;987;510;2,76
Ankara - Burhaniye;1410;987;647;2,18
Ankara - Erdek;1695;1186,5;531;3,19
Ankara - Gönen;1695;1186,5;551;3,08
Ankara - Balıkesir;1075;752,5;554;1,94
Ankara - Banaz;1020;714;342;2,98
Ankara - Bartın;850;595;283;3
Ankara - Bayburt;2090;1463;790;2,65
Ankara - Beyşehir;850;595;352;2,41
Ankara - Bingöl;2200;1540;892;2,47
Ankara - Tatvan;2090;1463;1083;1,93
Ankara - Güroymak;2090;1463;1052;1,99
Ankara - Bitlis;2090;1463;1083;1,93
Ankara - Bolu;610;427;187;3,26
Ankara - Yeniçağa;610;427;149;4,09
Ankara - Bucak;1020;714;473;2,16
Ankara - Gemlik;1190;833;420;2,83
Ankara - Orhangazi;1190;833;437;2,72
Ankara - Ceyhan;1075;752,5;544;1,98
Ankara - Biga;1470;1029;580;2,53
Ankara - Çan;1810;1267;612;2,96
Ankara - Ezine;1810;1267;691;2,62
Ankara - Lapseki;1580;1106;638;2,48
Ankara - Yenice (Çanakkale);1810;1267;600;3,02
Ankara - Çarşamba;1020;714;451;2,26
Ankara - Çaycuma;790;553;239;3,31
Ankara - Çayıralan;1020;714;330;3,09
Ankara - Denizli;1065;745,5;483;2,2
Ankara - Tavas;1190;833;526;2,26
Ankara - Devrek;680;476;208;3,27
Ankara - Dikili;1980;1386;667;2,97
Ankara - Dörtyol;1580;1106;599;2,64
Akçakoca - Ankara;860;602;271;3,17
Ankara - Düzce;760;532;233;3,26
Ankara - Ergani;2090;1463;829;2,52
Ankara - Erzin;1580;1106;611;2,59
Ankara - Erzincan;1470;1029;694;2,12
Ankara - Erzurum;1750;1225;885;1,98
Ankara - Eynesil;1300;910;680;1,91
Ankara - Finike;1450;1015;649;2,23
Ankara - İslahiye;1580;1106;648;2,44
Ankara - Gevaş;2320;1624;1183;1,96
Ankara - Bulancak;1300;910;592;2,2
Ankara - Giresun;1300;910;607;2,14
Ankara - Gölbaşı (Adıyaman);2320;1624;678;3,42
Ankara - Gölcük;905;633,5;354;2,56
Ankara - Gümüşhane;1865;1305,5;767;2,43
Ankara - Kırıkhan;1580;1106;671;2,35
Ankara - Iğdır;1920;1344;1168;1,64
Ankara - Tuzluca;1920;1344;1129;1,7
Ankara - Isparta;905;633,5;429;2,11
Ankara - İmamoğlu;1245;871,5;544;2,29
Ankara - İstanbul Avrupa;1130;791;449;2,52
Ankara - İstanbul Avrupa;1130;791;449;2,52
Ankara - İstanbul Anadolu;1130;791;434;2,6
Ankara - İstanbul Anadolu;1130;791;451;2,51
Ankara - İzmir;1160;812;582;1,99
Ankara - Çeşme;1750;1225;689;2,54
Ankara - Selçuk;1300;910;630;2,06
Ankara - Özdere;1695;1186,5;620;2,73
Ankara - Kadirli;1245;871,5;565;2,2
Ankara - Kalkan;1450;1015;696;2,08
Ankara - Karacabey;1360;952;469;2,9
Ankara - Karamürsel;905;633,5;373;2,43
Ankara - Selim (Kars);1850;1295;1050;1,76
Ankara - Kars;1850;1295;1081;1,71
Ankara - Kayseri;1130;791;333;3,39
Ankara - Keçiborlu;905;633,5;390;2,32
Ankara - Keşap;1300;910;621;2,09
Ankara - Kırıkkale;450;315;77;5,84
Ankara - Kırşehir;710;497;186;3,82
Ankara - Gebze;1020;714;389;2,62
Ankara - Kocaeli;905;633,5;339;2,67
Ankara - Konya;620;434;265;2,34
Ankara - Seydişehir;960;672;365;2,63
Ankara - Kozan;1245;871,5;541;2,3
Ankara - Kozcağız;850;595;283;3
Ankara - Küçükkuyu;1410;987;701;2,01
Ankara - Kütahya;725;507,5;319;2,27
Ankara - Tavşanlı;850;595;365;2,33
Akhisar - Ankara;1490;1043;560;2,66
Ankara - Kula (TR);1130;791;450;2,51
Ankara - Salihli;1130;791;496;2,28
Ankara - Turgutlu;1130;791;536;2,11
Ankara - Kızıltepe;1865;1305,5;961;1,94
Ankara - Mengen (TR);610;427;168;3,63
Ankara - Mercan;1470;1029;789;1,86
Ankara - Tarsus;960;672;461;2,08
Ankara - Mersin;960;672;489;1,96
Ankara - Merzifon;850;595;306;2,78
Ankara - Mucur;710;497;209;3,4
Ankara - Bodrum;1360;952;735;1,85
Ankara - Datça;1470;1029;740;1,99
Ankara - Marmaris;1360;952;673;2,02
Ankara - Muğla;1190;833;626;1,9
Ankara - Milas;1300;910;692;1,88
Ankara - Ortaca;1490;1043;679;2,19
Ankara - Yatağan;1300;910;654;1,99
Ankara - Muş;2090;1463;1002;2,09
Ankara - Nazilli;1125;787,5;557;2,02
Ankara - Göreme;870;609;279;3,12
Ankara - Avanos;870;609;285;3,05
Ankara - Nevşehir;870;609;279;3,12
